date,run,row,cell,sample,result,sample_id,rodent_uid,elisa_result,elisa_interpretation,control,species,construct,mean_result,sd_result,plot_value,plot_lci,plot_uci
2023-02-11,1,c,1,elisa_pc,31800,NA,NA,NA,Positive Control,TRUE,Rodent,NP-LUC,49818.46153846154,51603.195739202645,31800,31800,31800
2023-02-11,1,c,2,elisa_nc,1030,NA,NA,NA,Negative Control,TRUE,Rodent,NP-LUC,2455.1428571428573,1055.6489697114032,1030,1030,1030
2023-02-11,1,c,4,62,110100,62,4_LAL_011,4.644844517184943,Positive,FALSE,Rodent,NP-LUC,72965,52516.82063872489,72965,20448.179361275113,125481.8206387249
2023-02-11,1,c,5,120,163900,120,2_SEI_004,1.5964912280701753,Positive,FALSE,Rodent,NP-LUC,96990,94625.0294583838,96990,2364.9705416162033,191615.0294583838
2023-02-11,1,c,6,25,2220,25,2_LAL_003,-0.10899182561307896,Negative,FALSE,Rodent,NP-LUC,10763.333333333334,15180.132849660222,10763.333333333334,-4416.799516326888,25943.466182993558
2023-02-11,1,c,7,11,1030,11,1_LAL_011,-0.17582417582417575,Negative,FALSE,Rodent,NP-LUC,1045,21.213203435596427,1045,1023.7867965644036,1066.2132034355964
2023-02-11,1,c,8,15,4581,15,1_LAL_015,0.005449591280653956,Negative,FALSE,Rodent,NP-LUC,23764,34182.98358832944,23764,-10418.983588329444,57946.98358832944
2023-02-11,1,c,9,174,1700,174,3_SEI_002,0.6408227848101267,Negative,FALSE,Rodent,NP-LUC,1825,176.7766952966369,1825,1648.223304703363,2001.776695296637
2023-02-11,1,c,10,238,3330,238,5_SEI_020,3.61764705882353,Positive,FALSE,Rodent,NP-LUC,2713.3333333333335,900.4628439493399,2713.3333333333335,1812.8704893839936,3613.7961772826734
2023-02-11,1,c,11,422,960,422,4_BAI_004,0.018987341772151917,Negative,FALSE,Rodent,NP-LUC,5526.666666666667,7944.364879166448,5526.666666666667,-2417.698212499781,13471.031545833115
2023-02-11,1,c,12,438,1120,438,4_BAI_020,0.028481012658227806,Negative,FALSE,Rodent,NP-LUC,10953.333333333334,17187.953145541596,10953.333333333334,-6234.619812208262,28141.28647887493
2023-02-11,1,d,1,elisa_pc,4261,NA,NA,NA,Positive Control,TRUE,Rodent,NP-LUC,49818.46153846154,51603.195739202645,4261,4261,4261
2023-02-11,1,d,2,elisa_nc,1340,NA,NA,NA,Negative Control,TRUE,Rodent,NP-LUC,2455.1428571428573,1055.6489697114032,1340,1340,1340
2023-02-11,1,d,4,62,35830,62,4_LAL_011,4.644844517184943,Positive,FALSE,Rodent,NP-LUC,72965,52516.82063872489,72965,20448.179361275113,125481.8206387249
2023-02-11,1,d,5,120,30080,120,2_SEI_004,1.5964912280701753,Positive,FALSE,Rodent,NP-LUC,96990,94625.0294583838,96990,2364.9705416162033,191615.0294583838
2023-02-11,1,d,6,25,1780,25,2_LAL_003,-0.10899182561307896,Negative,FALSE,Rodent,NP-LUC,10763.333333333334,15180.132849660222,10763.333333333334,-4416.799516326888,25943.466182993558
2023-02-11,1,d,7,11,1060,11,1_LAL_011,-0.17582417582417575,Negative,FALSE,Rodent,NP-LUC,1045,21.213203435596427,1045,1023.7867965644036,1066.2132034355964
2023-02-11,1,d,8,15,3481,15,1_LAL_015,0.005449591280653956,Negative,FALSE,Rodent,NP-LUC,23764,34182.98358832944,23764,-10418.983588329444,57946.98358832944
2023-02-11,1,d,9,174,1950,174,3_SEI_002,0.6408227848101267,Negative,FALSE,Rodent,NP-LUC,1825,176.7766952966369,1825,1648.223304703363,2001.776695296637
2023-02-11,1,d,10,238,3130,238,5_SEI_020,3.61764705882353,Positive,FALSE,Rodent,NP-LUC,2713.3333333333335,900.4628439493399,2713.3333333333335,1812.8704893839936,3613.7961772826734
2023-02-11,1,d,11,422,920,422,4_BAI_004,0.018987341772151917,Negative,FALSE,Rodent,NP-LUC,5526.666666666667,7944.364879166448,5526.666666666667,-2417.698212499781,13471.031545833115
2023-02-11,1,d,12,438,940,438,4_BAI_020,0.028481012658227806,Negative,FALSE,Rodent,NP-LUC,10953.333333333334,17187.953145541596,10953.333333333334,-6234.619812208262,28141.28647887493
2023-02-12,2,e,1,elisa_pc,89960,NA,NA,NA,Positive Control,TRUE,Rodent,NP-LUC,49818.46153846154,51603.195739202645,89960,89960,89960
2023-02-12,2,e,2,elisa_nc,4941,NA,NA,NA,Negative Control,TRUE,Rodent,NP-LUC,2455.1428571428573,1055.6489697114032,4941,4941,4941
2023-02-12,2,e,3,175,2160,175,3_SEI_003,1.770588235294118,Positive,FALSE,Rodent,NP-LUC,1240,1301.0764773832475,1240,-61.07647738324749,2541.0764773832475
2023-02-12,2,e,4,205,94770,205,4_SEI_010,4.852941176470589,Positive,FALSE,Rodent,NP-LUC,32245.25,41933.285628285,32245.25,-9688.035628284997,74178.535628285
2023-02-12,2,e,5,207,1610,207,4_SEI_012,0.16470588235294117,Negative,FALSE,Rodent,NP-LUC,1210,853.4635317340748,1210,356.53646826592524,2063.463531734075
